data;

set FRIENDS := Eowyn Arwen Galadriel Melian Daenerys Cersei Sansa Brienne Asha Denna Annalin Shallan Jasnah Navani Lift;

set BOOKS := B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B21 B22 B23 B24 B25 B26 B27 B28 B29 B30 B31 B32 B33 B34 B35 B36 B37 B38 B39 B40 B41 B42 B43 B44 B45 B46 B47 B48 B49 B50 B51 B52 B53 B54 B55 B56 B57 B58 B59 B60 B61 B62 B63 B64 B65 B66 B67 B68 B69 B70 B71 B72 B73 B74 B75 B76 B77 B78 B79;

param budget :=
    Eowyn      8808
    Arwen      5154
    Galadriel  6330
    Melian     4747
    Daenerys   8411
    Cersei     4804
    Sansa      2826
    Brienne    8473
    Asha       4562
    Denna      7559
    Annalin    5079
    Shallan    5624
    Jasnah     4480
    Navani     3845
    Lift       7068;

param cost : Eowyn Arwen Galadriel Melian Daenerys Cersei Sansa Brienne Asha Denna Annalin Shallan Jasnah Navani Lift :=
B1   .     .     .     .    886    .   1267   992  1081    .     .     .     .     .     .
B2   .   536   807     .      .  620      .  1304  1338    .     .     .     .     .  1342
B3   .  1352     .  1262      .    .      .     .     .    .     .   729   686   916  1087
B4  1442     .     .     .      .    .    824     .  1090    .   811     .     .     .     .
B5   .   936   943     .      .    .      .     .   546    .     .  1420     .     .     .
B6   .     .     .   876      .    .    952   928     .    .     .     .     .     .     .
B7   .     .  1198     .      .    .      .  1171     .    .  1164  1460     .  1085     .
B8  1296     .     .     .      .    .   1253     .     .  1436     .     .     .  1055     .
B9   .     .     .     .      .  1157     .   822     .   643     .     .     .   548   981
B10  .     .  1137     .    952    .      .     .     .     .     .     .     .     .     .
B11  .     .     .  1344      .  1462     .     .  1294   517  1213     .  1186     .     .
B12  .     .     .  1077      .    .      .   878     .     .  1305     .     .     .     .
B13  .     .     .     .      .  693      .     .     .     .   713     .     .     .   675
B14  .  1016     .     .   1281    .      .     .     .     .     .     .     .     .     .
B15  .     .   611   827      .    .      .   927     .     .     .     .     .     .     .
B16  .  1033  1326     .      .  880      .     .  1148     .   526     .     .     .  1139
B17  .  1451     .     .      .    .      .   834   828     .     .     .     .  1478  1078
B18  .     .     .   653      .    .      .     .     .     .     .  1029     .     .     .
B19  .     .     .     .      .  666      .  1488   593   580     .     .   519   804  1222
B20  .     .     .     .      .    .      .     .     .     .     .  1069   755     .     .
B21 910   671     .     .      .    .      .  1200  1486     .     .     .     .     .     .
B22  .     .     .     .    596    .   1097     .     .     .     .     .   974     .     .
B23  .     .   858     .      .    .      .     .     .     .  1117     .     .   636     .
B24  .  1408     .     .      .    .      .     .     .     .     .   923     .  1280   747
B25  .     .     .     .   1219  546      .     .  1381   680     .     .     .     .     .
B26  .     .     .  1460   1095    .      .     .     .  1275     .     .     .     .     .
B27  .     .     .     .      .    .      .     .     .     .     .  1495     .     .     .
B28  .     .     .     .      .  530    644     .   841     .     .     .     .  1074     .
B29 1232     .     .     .      .    .      .     .     .     .     .     .     .     .   634
