			Friends															
			Eowyn	Arwen	Galadriel	Melian	Daenerys	Cersei	Sansa	Brienne	Asha	Denna	Annalin	Shallan	Jasnah	Navani	Lift	
Title	Author	Year	8808	5154	6330	4747	8411	4804	2826	8473	4562	7559	5079	5624	4480	3845	7068	budget
The Hobbit	J.R.R. Tolkien	1937	-	-	-	-	886	-	1267	992	1081	-	-	-	-	-	-	
The Lord of the Rings: The Fellowship of the Ring	J.R.R. Tolkien	1954	-	536	807	-	-	620	-	1304	1338	-	-	-	-	-	1342	
The Lord of the Rings: The Two Towers	J.R.R. Tolkien	1954	-	1352	-	1262	-	-	-	-	-	-	-	729	686	916	1087	
The Lord of the Rings: The Return of the King	J.R.R. Tolkien	1955	1442	-	-	-	-	-	824	-	1090	-	811	-	-	-	-	
The Silmarillion	J.R.R. Tolkien	1977	-	936	943	-	-	-	-	-	546	-	-	1420	-	-	-	
A Game of Thrones	George R.R. Martin	1996	-	-	-	876	-	-	952	928	-	-	-	-	-	-	-	
A Clash of Kings	George R.R. Martin	1998	-	-	1198	-	-	-	-	1171	-	-	1164	1460	-	1085	-	
A Storm of Swords	George R.R. Martin	2000	1296	-	-	-	-	-	1253	-	-	1436	-	-	-	1055	-	
A Feast for Crows	George R.R. Martin	2005	-	-	-	-	-	1157	-	822	-	643	-	-	-	548	981	
A Dance with Dragons	George R.R. Martin	2011	-	-	1137	-	952	-	-	-	-	-	-	-	-	-	-	
The Name of the Wind	Patrick Rothfuss	2007	-	-	-	1344	-	1462	-	-	1294	517	1213	-	1186	-	-	
The Wise Man’s Fear	Patrick Rothfuss	2011	-	-	-	1077	-	-	-	878	-	-	1305	-	-	-	-	
The Way of Kings	Brandon Sanderson	2010	-	-	-	-	-	693	-	-	-	-	713	-	-	-	675	
Words of Radiance	Brandon Sanderson	2014	-	1016	-	-	1281	-	-	-	-	-	-	-	-	-	-	
Oathbringer	Brandon Sanderson	2017	-	-	611	827	-	-	-	927	-	-	-	-	-	-	-	
Rhythm of War	Brandon Sanderson	2020	-	1033	1326	-	-	880	-	-	1148	-	526	-	-	-	1139	
Mistborn: The Final Empire	Brandon Sanderson	2006	-	1451	-	-	-	-	-	834	828	-	-	-	-	1478	1078	
