set Varosok := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param kezdo_varos := 1;

param tavolsagok:
       1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 :=
1      0  18  34  27  45  52  21  39  44  31  58  63  29  47  36
2     18   0  25  41  32  49  37  22  53  28  46  55  40  35  60
3     34  25   0  19  57  38  44  30  26  51  33  62  48  54  42
4     27  41  19   0  36  43  55  24  47  59  31  50  64  29  52
5     45  32  57  36   0  23  40  61  34  48  56  37  27  53  44
6     52  49  38  43  23   0  28  46  58  35  24  41  60  32  50
7     21  37  44  55  40  28   0  33  49  26  42  57  35  61  30
8     39  22  30  24  61  46  33   0  37  45  52  29  56  43  48
9     44  53  26  47  34  58  49  37   0  32  39  54  25  46  63
10    31  28  51  59  48  35  26  45  32   0  27  44  50  38  55
11    58  46  33  31  56  24  42  52  39  27   0  36  43  59  34
12    63  55  62  50  37  41  57  29  54  44  36   0  32  45  28
13    29  40  48  64  27  60  35  56  25  50  43  32   0  39  47
14    47  35  54  29  53  32  61  43  46  38  59  45  39   0  26
15    36  60  42  52  44  50  30  48  63  55  34  28  47  26   0 ;

end;
